feature_time_wib,sym,dir,venue,hit,pnl,btc_ctx_time_wib,btc_regime,btc_confidence,btc_syn_score,btc_fng,btc_funding,btc_oi_usd,btc_etf_bias,btc_rsi,ctx_lag_s
2026-08-06 21:30:56,BTC,SHORT,futures,DRIFT,-1.01,,,,,,,,,,
2026-08-06 22:36:22,ZBT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-06 22:36:25,BICO,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-06 23:06:42,ZBT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-06 23:06:55,ZRO,SHORT,futures,DRIFT,-1.55,,,,,,,,,,
2026-08-06 23:06:57,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-06 23:36:16,ZBT,SHORT,futures,DRIFT,9.32,,,,,,,,,,
2026-08-06 23:36:29,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 00:05:58,BICO,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 00:06:10,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 00:18:02,COOKIE,SHORT,futures,DRIFT,2.1,,,,,,,,,,
2026-08-07 00:18:05,RESOLV,SHORT,futures,DRIFT,-9.86,,,,,,,,,,
2026-08-07 00:18:14,ACT,SHORT,futures,DRIFT,-1.63,,,,,,,,,,
2026-08-07 00:18:16,DIA,SHORT,futures,DRIFT,-5.05,,,,,,,,,,
2026-08-07 00:36:35,RESOLV,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 00:36:42,ACT,SHORT,futures,DRIFT,-2.51,,,,,,,,,,
2026-08-07 00:36:44,DIA,SHORT,futures,DRIFT,0.53,,,,,,,,,,
2026-08-07 00:36:46,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 01:06:07,COOKIE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 01:06:09,RESOLV,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 01:06:17,ACT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 01:06:20,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 01:35:34,COOKIE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 01:35:36,RESOLV,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 01:35:47,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 02:05:59,ATOM,LONG,futures,SL,-2.5,,,,,,,,,,
2026-08-07 02:06:10,COOKIE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 02:06:12,RESOLV,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 02:06:14,AXS,SHORT,futures,DRIFT,-0.71,,,,,,,,,,
2026-08-07 02:06:20,ACT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 02:06:24,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 02:34:15,COOKIE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 02:34:17,RESOLV,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 02:34:24,ACT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 02:34:28,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 03:07:11,COOKIE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 03:07:20,ACT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 03:07:24,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 03:34:21,COOKIE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 03:34:23,RESOLV,SHORT,futures,DRIFT,0.38,,,,,,,,,,
2026-08-07 03:34:30,ACT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 03:34:33,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 04:03:52,COOKIE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 04:04:01,ACT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 04:04:05,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 04:17:08,PLUME,SHORT,futures,DRIFT,-1.39,,,,,,,,,,
2026-08-07 04:17:11,ROBO,SHORT,futures,DRIFT,-1.97,,,,,,,,,,
2026-08-07 04:17:13,ENSO,SHORT,futures,DRIFT,1.61,,,,,,,,,,
2026-08-07 04:34:13,COOKIE,SHORT,futures,DRIFT,2.1,,,,,,,,,,
2026-08-07 04:34:15,ACT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 04:34:25,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 05:03:49,PLUME,SHORT,futures,DRIFT,0.15,,,,,,,,,,
2026-08-07 05:03:55,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 05:34:16,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 06:04:12,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 06:34:09,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 07:06:06,AXS,SHORT,futures,DRIFT,-1.25,,,,,,,,,,
2026-08-07 07:06:08,PLUME,SHORT,futures,DRIFT,2.88,,,,,,,,,,
2026-08-07 07:06:12,ENSO,SHORT,futures,DRIFT,-1.36,,,,,,,,,,
2026-08-07 07:06:14,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 07:34:23,PLUME,SHORT,futures,DRIFT,-2.16,,,,,,,,,,
2026-08-07 08:04:45,AXS,SHORT,futures,DRIFT,-0.11,,,,,,,,,,
2026-08-07 08:04:47,PLUME,SHORT,futures,DRIFT,-0.22,,,,,,,,,,
2026-08-07 08:04:51,ENSO,SHORT,futures,DRIFT,-1.88,,,,,,,,,,
2026-08-07 08:04:53,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 08:17:14,STG,SHORT,futures,DRIFT,6.48,,,,,,,,,,
2026-08-07 08:17:17,ZBT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 08:34:30,ZBT,SHORT,futures,DRIFT,-6.37,,,,,,,,,,
2026-08-07 08:34:51,ZEC,SHORT,futures,SL,-11.25,,,,,,,,,,
2026-08-07 08:56:10,CRV,SHORT,futures,DRIFT,-0.4,,,,,,,,,,
2026-08-07 09:35:34,RUNE,LONG,futures,DRIFT,0.74,,,,,,,,,,
2026-08-07 12:17:22,ACE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 12:17:27,XAI,SHORT,futures,SL,-6.64,,,,,,,,,,
2026-08-07 12:17:35,AXTIB,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 13:04:54,XAUT,SHORT,futures,TIME_EXIT,-4.61,,,,,,,,,,
2026-08-07 13:04:56,PAXG,SHORT,futures,TIME_EXIT,-4.47,,,,,,,,,,
2026-08-07 13:05:03,OPEN,SHORT,futures,TIME_EXIT,1.31,,,,,,,,,,
2026-08-07 16:17:27,C98,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 16:17:32,SAGA,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 16:17:35,ALLO,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 16:17:37,ENA,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-07 16:17:42,TST,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 20:35:40,TUT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-07 21:35:27,DOT,SHORT,futures,DRIFT,-0.98,,,,,,,,,,
2026-08-07 21:45:47,BTC,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-08 00:06:17,BICO,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-08 00:06:27,SPCXB,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-08 00:06:29,NIL,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-08 04:18:00,BROCCOLI714,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-08 04:18:04,TWT,SHORT,futures,TIME_EXIT,-3.76,,,,,,,,,,
2026-08-08 04:35:45,CRCLB,SHORT,futures,TIME_EXIT,-5.91,,,,,,,,,,
2026-08-08 08:06:27,ZRO,SHORT,futures,TIME_EXIT,-4.64,,,,,,,,,,
2026-08-08 08:06:33,BIO,SHORT,futures,TIME_EXIT,10.39,,,,,,,,,,
2026-08-08 12:07:45,PLTRB,SHORT,futures,TIME_EXIT,-1.09,,,,,,,,,,
2026-08-08 12:35:28,AXTIB,SHORT,futures,TIME_EXIT,-3.65,,,,,,,,,,
2026-08-08 16:18:15,BOME,SHORT,futures,TIME_EXIT,-1.37,,,,,,,,,,
2026-08-08 16:18:17,CRV,SHORT,futures,TIME_EXIT,-2.83,,,,,,,,,,
